the_geom,SEGID,SEGPART,STREETID,STATUSID,MAPSTATUS,STREETNAME,STR_FROM,STR_TO,SEGDESCR,SCHEDULE
"MULTIPOLYGON (((144.984771408603 -37.829377181607, 144.984803600879 -37.829218341491, 144.984831591206 -37.829246928293, 144.985375518247 -37.829314489172, 144.985383742412 -37.829314974827, 144.985391980519 -37.829314937863, 144.985400176426 -37.829314323091, 144.985408265943 -37.829313135325, 144.985416185712 -37.829311383868, 144.985423873706 -37.829309082438, 144.985431114685 -37.829306023214, 144.985441077175 -37.829302654634, 144.98545150812 -37.829300291016, 144.98546217059 -37.829298676554, 144.985472979628 -37.829297824111, 144.985483849113 -37.829297740479, 144.985494692441 -37.829298426324, 144.985505423215 -37.829299876182, 144.985515955938 -37.829302078502, 144.985526206687 -37.829305015735, 144.985536093789 -37.829308664479, 144.985545538467 -37.829312995662, 144.985554465469 -37.829317974775, 144.985562803668 -37.829323562145, 144.985570486628 -37.829329713256, 144.985577828461 -37.829336154657, 144.985583375147 -37.829343162207, 144.9855885531 -37.829350315546, 144.985592949523 -37.829357787354, 144.985596532598 -37.829365523555, 144.985599276391 -37.829373468158, 144.985601161046 -37.829381563664, 144.985602172921 -37.829389751482, 144.985602304693 -37.829397972352, 144.985601555409 -37.829406166777, 144.985599930491 -37.829414275449, 144.9855974417 -37.829422239682, 144.985594107048 -37.829430001835, 144.98558995067 -37.829437505729, 144.985585002648 -37.829444697054, 144.985579298792 -37.829451523765, 144.985572880385 -37.829457936453, 144.98556579388 -37.829463888705, 144.985558090564 -37.829469337444, 144.985549562212 -37.82947393859, 144.985588824028 -37.829731031236, 144.985591088247 -37.82973743189, 144.985594005918 -37.829743663918, 144.985597557429 -37.82974968543, 144.985601718909 -37.829755455949, 144.985606462384 -37.829760936688, 144.985611769 -37.829768232182, 144.985616647664 -37.829775684836, 144.985620687786 -37.829783442849, 144.985623858274 -37.829791446521, 144.985626134731 -37.829799634263, 144.985627499639 -37.829807943068, 144.985627942496 -37.829816308998, 144.985627459893 -37.829824667676, 144.985626055544 -37.82983295478, 144.985623740256 -37.82984110654, 144.985620531845 -37.829849060225, 144.985616455001 -37.829856754631, 144.985611541096 -37.829864130548, 144.985605827943 -37.829871131216, 144.985598998509 -37.829877457314, 144.985592360599 -37.829883658764, 144.985584739996 -37.82988911346, 144.985576553646 -37.829894026794, 144.985567861649 -37.829898362694, 144.985558727811 -37.829902089332, 144.985549219187 -37.829905179349, 144.985539405579 -37.829907610061, 144.985529359032 -37.829909363624, 144.985519153298 -37.829910427165, 144.985508863298 -37.829910792876, 144.985498564574 -37.829910458072, 144.985488332728 -37.829909425212, 144.985478242875 -37.829907701877, 144.985468277978 -37.829905509173, 144.985458682964 -37.829902202794, 144.985449364261 -37.829898453694, 144.985440482874 -37.829894081522, 144.98543210541 -37.829889119066, 144.985424294693 -37.82988360354, 144.985417109299 -37.82987757631, 144.985410603116 -37.829871082574, 144.985404824933 -37.829864171032, 144.985399818086 -37.829856893516, 144.985395620122 -37.829849304603, 144.985392262522 -37.829841461206, 144.985389770468 -37.829833422145, 144.985388162648 -37.829825247708, 144.985387414006 -37.829816999701, 144.985387605239 -37.82980920088, 144.985388561564 -37.829801443691, 144.985390313862 -37.82979377946, 144.985392850424 -37.829786259402, 144.985396154301 -37.829778933767, 144.985400203413 -37.829771851506, 144.985405330824 -37.82976523629, 144.9854078357 -37.829762346237, 144.985409848687 -37.829759217844, 144.98541151033 -37.829755960414, 144.98541280808 -37.829752598548, 144.985413732134 -37.829749157639, 144.985414275514 -37.829745663676, 144.985414434115 -37.829742143048, 144.985414206739 -37.829738622345, 144.98541367163 -37.829735117496, 144.985370104662 -37.829471327479, 144.985368059454 -37.829467855091, 144.985365777599 -37.829464483721, 144.985363135487 -37.829461280734, 144.985360153248 -37.829458270535, 144.985356853603 -37.829455476057, 144.985353261692 -37.829452918592, 144.985349404883 -37.829450617626, 144.985345400965 -37.829448465446, 144.984771408603 -37.829377181607)))",22277,,,,,,,,St Leonards Court from Anderson Street,Years 5 - 7
"MULTIPOLYGON (((144.971694067611 -37.814127249253, 144.971569660778 -37.813868207647, 144.973715680312 -37.813238529136, 144.973841138952 -37.813495072384, 144.971694067611 -37.814127249253)))",20106,,,,,,,,Collins Street between Spring Street and Exhibition Street,Years 5 - 7
"MULTIPOLYGON (((144.970600863608 -37.809989429477, 144.970536497945 -37.810008335305, 144.969887481977 -37.810198912333, 144.96976705995 -37.809935008076, 144.971056971712 -37.809559344109, 144.971129038359 -37.809538353779, 144.971910077775 -37.809310887548, 144.972034921114 -37.80956829627, 144.971564923155 -37.809706317885, 144.971526665918 -37.809717554397, 144.970600863608 -37.809989429477)))",20001,,,,,,,,Lonsdale Street between Spring Street and Exhibition Street,Years 8 - 10
"MULTIPOLYGON (((144.950093361734 -37.817824519203, 144.950168897394 -37.817803467123, 144.950256068537 -37.81784239814, 144.950345076136 -37.817878105583, 144.950437594775 -37.817907563903, 144.950532924294 -37.817930550166, 144.950630152805 -37.817947843912, 144.950624089271 -37.817983478917, 144.950533675269 -37.818079979904, 144.950537032603 -37.818085508466, 144.95035078157 -37.818166526118, 144.950349694592 -37.818165164447, 144.950093361734 -37.817824519203)))",22554,,,,,,,,Intersection of Bourke Street and Wurundjeri Way,Complete
"MULTIPOLYGON (((144.964686902352 -37.80601661319, 144.964566611595 -37.806696508783, 144.96422621864 -37.806662021169, 144.964279492612 -37.80635045903, 144.964370221267 -37.805830173845, 144.96454139989 -37.804848587722, 144.964884250654 -37.804889235809, 144.964791000495 -37.805401844968, 144.964702766617 -37.80592695892, 144.964686902352 -37.80601661319)))",20504,,,,,,,,Cardigan Street between Victoria Street and Queensberry Street,Years 8 - 10
"MULTIPOLYGON (((144.960858029382 -37.802059117618, 144.960734122553 -37.802044499688, 144.960931003145 -37.800918481523, 144.961049668134 -37.800239840864, 144.961177633427 -37.800253384201, 144.961054798835 -37.800947398987, 144.961050751451 -37.800970263872, 144.960900104816 -37.801821421748, 144.960894446552 -37.801865274182, 144.960858029382 -37.802059117618)))",20460,,,,,,,,Leicester Street between Pelham Street and Grattan Street,Not determined by precinct plan
"MULTIPOLYGON (((144.958054930684 -37.80855220261, 144.958025558237 -37.808718329692, 144.957820388551 -37.808778484772, 144.957951011979 -37.808028142059, 144.958034012078 -37.807551381369, 144.958240731849 -37.807490901282, 144.958205532885 -37.807700346078, 144.958061915049 -37.808512662974, 144.958054930684 -37.80855220261)))",21630,,,,,,,,Queen Street between Franklin Street and Therry Street,Years 5 - 7
"MULTIPOLYGON (((144.965781371414 -37.804709793933, 144.965815142904 -37.804713369226, 144.966066596 -37.80473993567, 144.966024323982 -37.805015542598, 144.965164586854 -37.804920376667, 144.964884250654 -37.804889235809, 144.964926367308 -37.804619439243, 144.965211704384 -37.804649594002, 144.965270572398 -37.804655819997, 144.965781371414 -37.804709793933)))",22499,,,,,,,,Queensberry Street between Lygon Street and Cardigan Street,Years 5 - 7
"MULTIPOLYGON (((144.966195170339 -37.809047737888, 144.966516043584 -37.808949545002, 144.966882915724 -37.809750456717, 144.96688885293 -37.809763419024, 144.966564327483 -37.809859648329, 144.966195170339 -37.809047737888)))",20153,,,,,,,,Russell Street between Little Lonsdale Street and La Trobe Street,Years 5 - 7
"MULTIPOLYGON (((144.956860941672 -37.809504373973, 144.956451008962 -37.809458500902, 144.955644372704 -37.809690222775, 144.95556803668 -37.809499335199, 144.955657649559 -37.80956302708, 144.956439236966 -37.80933588993, 144.957965870086 -37.809503687647, 144.958002714363 -37.809467531579, 144.958072511516 -37.80963995632, 144.957437821715 -37.809568939257, 144.956905919799 -37.809509407935, 144.956860941672 -37.809504373973)))",21527,,,,,,,,Franklin Street between Queen Street and William Street,Years 5 - 7
